trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.5, 'e': 0.9949510255034989}",30,0,-101.61949850248239,"{0: 22, 1: 0, 2: 5, 3: 2, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.994845381615954}",20,0,-116.8400481922285,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9947386467603123}",25,0,-100.76076657697077,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.9946308210536213}",25,0,-112.84363498493795,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.9945219046141249}",25,0,-77.77289825647702,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9944118975612631}",20,0,-113.52695057857132,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.994300800015672}",20,0,-90.90341067465295,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.9941886120991835}",20,0,-30.267222910756765,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.9940753339348252}",20,0,-49.4261057639206,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.9939609656468201}",25,0,-123.43605048373537,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.993845507360587}",30,0,-120.96293727975304,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.9937289592027398}",20,0,-182.0147361176715,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
108,False,"{'a': 0.5, 'e': 0.9936113213010878}",30,0,-209.95578787000005,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
